Key,english,japanese
resourceBlackHorseSaddleDesc,"[e7a729]This saddle can be used on a brown horse, once it has been fed. You must be close to the horse to use. Be sure to use the correct color saddle on the correct color horse.[-]","[e7a729]このサドルは餌を食べさせ、好感度が上昇している馬(黒)にのみ使用可能です。\n\n使用するためには、馬の近くにいなければいけません。\n正しく使用されると、サドルが消え、テイム済みの馬がバッグ内に入ります。\n\n馬とサドルの色が同じ色でないと、テイムすることは出来ません。[-]"
vehicleBlackHorsePlaceable,"[e7a729]Tamed Black Horse[-]","[e7a729]テイム済みの馬(黒)[-]"
vehicleBlackHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you.[-]","[e7a729]設置すると乗ることが出来ます。\n\n馬はダッシュするとスタミナを消費します。\n\n荷物を持ってくれることも出来ます。[-]"

resourceYellowHorseSaddle,"[e7a729]Horse Saddle: (Yellow)[-]","[e7a729]馬用サドル： (黄)[-]"
resourceYellowHorseSaddleDesc,"[e7a729]This saddle can be used on a brown horse, once it has been fed. You must be close to the horse to use. Be sure to use the correct color saddle on the correct color horse.[-]","[e7a729]このサドルは餌を食べさせ、好感度が上昇している馬(黄)にのみ使用可能です。\n\n使用するためには、馬の近くにいなければいけません。\n正しく使用されると、サドルが消え、テイム済みの馬がバッグ内に入ります。\n\n馬とサドルの色が同じ色でないと、テイムすることは出来ません。[-]"
vehicleYellowHorsePlaceable,"[e7a729]Tamed Yellow Horse[-]","[e7a729]テイム済みの馬(黄)[-]"
vehicleYellowHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you.[-]","[e7a729]設置すると乗ることが出来ます。\n\n馬はダッシュするとスタミナを消費します。\n\n荷物を持ってくれることも出来ます。[-]"

resourceAlbinoHorseSaddle,"[e7a729]Horse Saddle: (Albino)[-]","[e7a729]馬用サドル： (アルビノ)[-]"
resourceAlbinoHorseSaddleDesc,"[e7a729]This saddle can be used on a brown horse, once it has been fed. You must be close to the horse to use. Be sure to use the correct color saddle on the correct color horse.[-]","[e7a729]このサドルは餌を食べさせ、好感度が上昇している馬(アルビノ)にのみ使用可能です。\n\n使用するためには、馬の近くにいなければいけません。\n正しく使用されると、サドルが消え、テイム済みの馬がバッグ内に入ります。\n\n馬とサドルの色が同じ色でないと、テイムすることは出来ません。[-]"
vehicleAlbinoHorsePlaceable,"[e7a729]Tamed Albino Horse[-]","[e7a729]テイム済みの馬(アルビノ)[-]"
vehicleAlbinoHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you.[-]","[e7a729]設置すると乗ることが出来ます。\n\n馬はダッシュするとスタミナを消費します。\n\n荷物を持ってくれることも出来ます。[-]"

resourceCreamHorseSaddle,"[e7a729]Horse Saddle: (Cream)[-]","[e7a729]馬用サドル： (クリーム)[-]"
resourceCreamHorseSaddleDesc,"[e7a729]This saddle can be used on a brown horse, once it has been fed. You must be close to the horse to use. Be sure to use the correct color saddle on the correct color horse.[-]","[e7a729]このサドルは餌を食べさせ、好感度が上昇している馬(クリーム)にのみ使用可能です。\n\n使用するためには、馬の近くにいなければいけません。\n正しく使用されると、サドルが消え、テイム済みの馬がバッグ内に入ります。\n\n馬とサドルの色が同じ色でないと、テイムすることは出来ません。[-]"
vehicleCreamHorsePlaceable,"[e7a729]Tamed Cream Horse[-]","[e7a729]テイム済みの馬(クリーム)[-]"
vehicleCreamHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you.[-]","[e7a729]設置すると乗ることが出来ます。\n\n馬はダッシュするとスタミナを消費します。\n\n荷物を持ってくれることも出来ます。[-]"

resourceMidnightHorseSaddle,"[e7a729]Horse Saddle: (Midnight)[-]","[e7a729]馬用サドル： (ミッドナイト)[-]"
resourceMidnightHorseSaddleDesc,"[e7a729]This saddle can be used on a brown horse, once it has been fed. You must be close to the horse to use. Be sure to use the correct color saddle on the correct color horse.[-]","[e7a729]このサドルは餌を食べさせ、好感度が上昇している馬(ミッドナイト)にのみ使用可能です。\n\n使用するためには、馬の近くにいなければいけません。\n正しく使用されると、サドルが消え、テイム済みの馬がバッグ内に入ります。\n\n馬とサドルの色が同じ色でないと、テイムすることは出来ません。[-]"
vehicleMidnightHorsePlaceable,"[e7a729]Tamed Midnight Horse[-]","[e7a729]テイム済みの馬(ミッドナイト)[-]"
vehicleMidnightHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you.[-]","[e7a729]設置すると乗ることが出来ます。\n\n馬はダッシュするとスタミナを消費します。\n\n荷物を持ってくれることも出来ます。[-]"

resourceGrayHorseSaddle,"[e7a729]Horse Saddle: (Gray)[-]","[e7a729]馬用サドル： (灰)[-]"
resourceGrayHorseSaddleDesc,"[e7a729]This saddle can be used on a brown horse, once it has been fed. You must be close to the horse to use. Be sure to use the correct color saddle on the correct color horse.[-]","[e7a729]このサドルは餌を食べさせ、好感度が上昇している馬(灰)にのみ使用可能です。\n\n使用するためには、馬の近くにいなければいけません。\n正しく使用されると、サドルが消え、テイム済みの馬がバッグ内に入ります。\n\n馬とサドルの色が同じ色でないと、テイムすることは出来ません。[-]"
vehicleGrayHorsePlaceable,"[e7a729]Tamed Gray Horse[-]","[e7a729]テイム済みの馬(灰)[-]"
vehicleGrayHorsePlaceableDesc,"[e7a729]Place to ride. Horses use stamina to sprint. They can carry more weight for you.[-]","[e7a729]設置すると乗ることが出来ます。\n\n馬はダッシュするとスタミナを消費します。\n\n荷物を持ってくれることも出来ます。[-]"

foodApple,"[e7a729]Apple[-]","[e7a729]リンゴ(馬テイム用)[-]"
foodAppleDesc,"[e7a729]Apples are used to feed wild horses. Look for a horse that is hungry and feed it with left click. It will be happy you fed it, which will allow you to use a saddle with left click. Be sure the saddle is for that color horse. Act fast. Horses forget they ate a delicious apple after a few seconds.[-]","[e7a729]おなかを空かせた野生の馬に主要アクション(左クリック)でリンゴを食べさせると、懐きます。\n\n懐いた馬に、馬と同じ色の名前がついているサドルを使用すると、テイムして乗る事が出来るようになります。\n\n懐いても時間がたつとすぐにおなかを空かせ、リンゴをもらった事を忘れてしまうので、懐いたらすぐにサドルを使用してください。[-]"
